"","Fecha","inicio","final","calidad","roncar","out.of.batery","dia_semana","duracion_minutos"
"1","26-2-2018",2353,700,62,NA,"","Monday",427
"2","27-2-2018",2333,626,62,0,"","Tuesday",413
"3","28-2-2018",2312,658,74,0,"","Wednesday",466
"4","1-3-2018",2326,657,80,NA,"","Thursday",451
"5","2-3-2018",248,633,33,45,"","Friday",225
"6","3-3-2018",NA,NA,NA,NA,"","Saturday",NA
"7","4-3-2018",NA,NA,NA,NA,"","Sunday",NA
"8","5-3-2018",NA,NA,NA,NA,"","Monday",NA
"9","6-3-2018",2216,629,72,1,"","Tuesday",493
"10","7-3-2018",42,630,69,NA,"","Wednesday",348
"11","8-3-2018",NA,NA,NA,NA,"","Thursday",NA
"12","9-3-2018",2201,807,68,22,"","Friday",606
"13","10-3-2018",218,801,57,6,"","Saturday",343
"14","11-3-2018",2350,820,85,16,"","Sunday",510
"15","12-3-2018",2355,700,79,NA,"","Monday",425
"16","13-3-2018",2325,718,83,2,"","Tuesday",473
"17","14-3-2018",2219,700,94,NA,"","Wednesday",521
"18","15-3-2018",2335,725,85,NA,"","Thursday",470
"19","16-3-2018",2307,725,91,NA,"","Friday",498
"20","17-3-2018",NA,NA,NA,NA,"","Saturday",NA
"21","18-3-2018",2340,812,88,NA,"","Sunday",512
"22","19-3-2018",2319,700,83,NA,"","Monday",461
"23","20-3-2018",2341,700,73,NA,"","Tuesday",439
"24","21-3-2018",2318,204,0,0,"*","Wednesday",166
"25","22-3-2018",2348,700,82,NA,"","Thursday",432
"26","23-3-2018",119,659,38,50,"","Friday",340
"27","24-3-2018",45,837,57,128,"","Saturday",472
"28","25-3-2018",706,1059,26,21,"","Sunday",233
"29","26-3-2018",106,748,73,NA,"","Monday",402
"30","27-3-2018",4,737,76,NA,"","Tuesday",453
"31","28-3-2018",NA,NA,NA,NA,"","Wednesday",NA
"32","29-3-2018",2351,844,92,NA,"","Thursday",533
"33","30-3-2018",28,740,75,NA,"","Friday",432
"34","31-3-2018",2352,815,92,NA,"","Saturday",503
"35","1-4-2018",46,817,81,NA,"","Sunday",451
