"Name","Frequency"
"LIAM",838
"ETHAN",820
"LUCAS",803
"NOAH",795
"BENJAMIN",755
"JACOB",702
"WILLIAM",695
"NATHAN",634
"MASON",627
"ALEXANDER",599
"LOGAN",583
"DANIEL",548
"OWEN",543
"JACK",531
"JAMES",517
"JACKSON",502
"CARTER",500
"JOSHUA",490
"MATTHEW",472
"RYAN",451
"OLIVER",408
"SAMUEL",406
"MICHAEL",401
"EVAN",400
"HUNTER",394
"GABRIEL",392
"ADAM",377
"JAYDEN",370
"AIDEN",361
"THOMAS",340
"DYLAN",337
"NICHOLAS",337
"ANDREW",328
"ISAAC",325
"DAVID",322
"HENRY",314
"JOSEPH",311
"JAXON",301
"HUDSON",300
"COLTON",295
"CALEB",290
"ZACHARY",287
"LUKE",283
"CAMERON",278
"AUSTIN",271
"CONNOR",270
"NOLAN",270
"SEBASTIAN",268
"BLAKE",265
"TYLER",264
"GAVIN",260
"XAVIER",257
"ANTHONY",256
"ELIJAH",251
"JOHN",248
"GRAYSON",247
"MUHAMMAD",245
"TRISTAN",231
"CHASE",228
"CHRISTIAN",228
"LINCOLN",217
"LUCA",210
"BRAYDEN",207
"PARKER",207
"DOMINIC",206
"COLE",204
"CHARLES",202
"MARCUS",202
"WYATT",200
"AARON",199
"DECLAN",199
"JORDAN",197
"NATHANIEL",197
"CHRISTOPHER",193
"JONATHAN",192
"LEO",190
"LANDON",187
"EMMETT",178
"BENTLEY",176
"LEVI",175
"JULIAN",173
"MAX",172
"MAXWELL",169
"RYDER",169
"JAXSON",168
"ISAIAH",167
"JACE",166
"HAYDEN",165
"JASON",160
"ADRIAN",156
"COOPER",154
"ELI",154
"CARSON",153
"JASE",153
"ALI",148
"MATTEO",148
"EASTON",145
"ROBERT",145
"SPENCER",144
"JAKE",143
"CHARLIE",141
"JUSTIN",139
"ERIC",137
"RILEY",136
"KYLE",135
"TYSON",133
"WESLEY",132
"BRANDON",131
"BRODY",131
"MATEO",128
"THEODORE",128
"AIDAN",124
"ALEX",124
"MYLES",123
"SIMON",123
"SAWYER",122
"GEORGE",121
"PETER",121
"LUKAS",120
"JEREMY",119
"REID",118
"VINCENT",113
"HARRISON",112
"NICOLAS",111
"PATRICK",106
"MARK",103
"ELLIOT",102
"FELIX",102
"BENNETT",101
"GREYSON",101
"ASHER",100
"ASHTON",99
"COHEN",98
"KALEB",98
"MILES",97
"OMAR",97
"IBRAHIM",96
"RYKER",96
"KAYDEN",94
"ROWAN",94
"KEVIN",93
"JONAH",92
"ANTONIO",91
"JEREMIAH",91
"PRESTON",91
"FINN",89
"KAI",89
"EVERETT",88
"MOHAMMAD",88
"IAN",87
"AYDEN",85
"EDWARD",85
"JESSE",85
"MICAH",85
"COLIN",83
"MAXIMUS",83
"OSCAR",82
"ELLIOTT",81
"WESTON",81
"AYAAN",80
"ELIAS",80
"SILAS",80
"CALLUM",79
"QUINN",79
"GRIFFIN",78
"JOSIAH",78
"DAMIAN",77
"DANTE",76
"SYED",76
"AVERY",75
"BRADY",75
"EMERSON",75
"JASPER",74
"SETH",74
"ABDULLAH",72
"BRYSON",72
"JAX",71
"JOEL",71
"YUSUF",71
"CAMDEN",70
"MALCOLM",69
"BRADLEY",68
"KAIDEN",68
"DAMIEN",67
"KEEGAN",67
"RYLAN",67
"CALVIN",66
"DEAN",66
"HAMZA",66
"BRYCE",64
"JADEN",64
"TIMOTHY",63
"JUDE",62
"MOHAMED",62
"ARJUN",61
"BRIAN",61
"IVAN",61
"JAYCE",61
"KIERAN",61
"PAUL",61
"AHMED",60
"ARMAAN",60
"EZRA",60
"TRAVIS",60
"CLARK",59
"LUKA",59
"MAVERICK",58
"ARTHUR",57
"MOHAMMED",56
"ROMAN",56
"AARAV",55
"DAWSON",55
"DEXTER",55
"EMMANUEL",55
"MARCO",55
"NASH",55
"RICHARD",55
"STEVEN",55
"VICTOR",55
"RHYS",54
"SEAN",54
"PHOENIX",52
"AHMAD",51
"CAYDEN",51
"COLBY",51
"KADEN",51
